geo,year,pisa_score
LUX,2009,481.6666666666667
LUX,2012,489.6666666666667
LUX,2015,483.3333333333333
LUX,2018,476.6666666666667
LVA,2000,458.0
LVA,2003,487.0
LVA,2006,485.0
LVA,2009,486.6666666666667
LVA,2012,494.0
LVA,2015,486.6666666666667
LVA,2018,487.3333333333333
LVA,2022,484.0
MAC,2015,527.3333333333334
MAR,2022,356.3333333333333
MDA,2022,414.0
MEX,2000,422.0
MEX,2003,392.5
MEX,2006,408.6666666666667
MEX,2009,420.0
MEX,2012,417.3333333333333
MEX,2015,415.6666666666667
MEX,2018,416.0
MEX,2022,406.6666666666667
MKD,2022,376.0
MLT,2022,459.0
MNE,2022,404.6666666666667
MNG,2022,405.0
MYS,2022,404.3333333333333
NLD,2003,525.5
NLD,2006,521.0
NLD,2009,518.6666666666666
NLD,2012,518.6666666666666
NLD,2015,508.0
NLD,2018,502.3333333333333
NLD,2022,480.0
NOR,2000,505.0
NOR,2003,497.5
NOR,2006,487.0
NOR,2009,500.3333333333333
NOR,2012,496.0
NOR,2015,504.3333333333333
NOR,2018,496.6666666666667
NOR,2022,474.3333333333333
NZL,2000,529.0
NZL,2003,522.5
NZL,2006,524.3333333333334
NZL,2009,524.0
NZL,2012,509.3333333333333
NZL,2015,505.6666666666667
NZL,2018,502.6666666666667
NZL,2022,494.6666666666667
OAVG,2006,496.0
OAVG,2009,498.0
OAVG,2012,497.0
OAVG,2015,492.0
OAVG,2018,488.3333333333333
PAN,2022,379.0
PER,2015,394.0
PER,2022,402.3333333333333
PHL,2022,352.6666666666667
POL,2000,479.0
POL,2003,493.5
POL,2006,500.3333333333333
POL,2009,501.0
POL,2012,520.6666666666666
POL,2015,503.6666666666667
POL,2018,513.0
POL,2022,492.3333333333333
PRT,2000,470.0
PRT,2003,472.0
PRT,2006,470.6666666666667
PRT,2009,489.6666666666667
PRT,2012,488.0
PRT,2015,497.0
PRT,2018,492.0
PRT,2022,477.6666666666667
PRY,2022,359.6666666666667
PSE,2022,361.3333333333333
QAT,2022,421.6666666666667
ROU,2022,428.0
RUS,2000,462.0
RUS,2003,455.0
RUS,2006,464.6666666666667
RUS,2009,471.0
RUS,2012,481.3333333333333
RUS,2015,494.5
RUS,2018,481.6666666666667
SAU,2022,387.3333333333333
SGP,2015,551.6666666666666
SGP,2022,559.6666666666666
SLV,2022,360.3333333333333
SRB,2022,442.3333333333333
SVK,2003,483.5
SVK,2006,482.0
SVK,2009,488.0
SVK,2012,472.0
SVK,2015,463.0
SVK,2018,469.3333333333333
SVK,2022,457.6666666666667
SVN,2006,505.6666666666667
SVN,2009,498.6666666666667
SVN,2012,498.6666666666667
SVN,2015,509.3333333333333
SVN,2018,503.6666666666667
SVN,2022,484.6666666666667
SWE,2000,516.0
SWE,2003,511.5
SWE,2006,504.0
SWE,2009,495.3333333333333
SWE,2012,482.0
SWE,2015,495.6666666666667
SWE,2018,502.3333333333333
SWE,2022,487.6666666666667
THA,2022,394.0
TUR,2003,432.0
TUR,2006,431.6666666666667
TUR,2009,454.3333333333333
TUR,2012,462.0
TUR,2015,424.3333333333333
TUR,2018,462.6666666666667
TUR,2022,461.6666666666667
TWN,2015,523.6666666666666
TWN,2022,533.0
UKR,2022,439.6666666666667
URY,2022,424.6666666666667
USA,2000,504.0
USA,2003,489.0
USA,2006,481.5
USA,2009,496.3333333333333
USA,2012,492.0
USA,2015,487.6666666666667
USA,2018,495.0
USA,2022,489.3333333333333
UZB,2022,351.6666666666667
VNM,2022,467.6666666666667
