geo,name,pisa_score,pisa_pred,spend_per_student,spend_year,gdp_per_capita,years_schooling,xpd_pct_gdp,gov_eff,pisa_per_1k_usd,residual,efficiency_z
ALB,Albania,367.3333333333333,398.3213217066602,1551.429573235096,2017,19446.2252459573,10.17531099,3.09153008460998,0.293429,236.7708722783702,-0.08098931948677546,-1.3505189602335825
ARG,Argentina,395.0,424.20292756586366,6103.814010451319,2017,29597.6938429263,11.18458184,5.00324010848999,0.0614731,64.71363631389443,-0.07132617858674806,-1.1893834539273886
AUS,Australia,497.3333333333333,486.97310718361257,9868.506990687449,2016,65871.7715157769,12.86999989,5.05915021896362,1.7818134,50.3960055763905,0.02105159192664985,0.35104102886904354
AUT,Austria,486.0,491.4666581162528,19608.03731270713,2016,70734.9425647902,12.36146506,5.27749013900757,1.5790569,24.785754547959996,-0.011185476389260707,-0.186520865203812
BRA,Brazil,397.3333333333333,391.1849732106015,4278.800775491371,2015,19876.8533531447,8.425371752,5.61920976638794,-0.2666224,92.860909909437,0.01559503357262404,0.2600514321983847
BRN,Brunei Darussalam,439.0,465.56854007768356,19341.671072505163,2016,81801.745908279,9.282,,0.9854734,22.697108143052503,-0.058759912497522215,-0.9798375444126034
CHE,Switzerland,498.0,516.9198795186827,22333.951630224015,2015,91326.1317048182,13.94912109,4.86427021026611,2.0409373,22.29789014703821,-0.037287813556946325,-0.6217844465594433
CHL,Chile,434.6666666666667,440.15888500662845,5757.990818392164,2017,30820.3526971179,11.29105394,4.91201019287109,0.9969509,75.4892948558124,-0.012556310199870246,-0.20937989234824606
COL,Colombia,401.0,397.36460796697844,3652.1756407370567,2018,20695.7426775731,9.031581597,5.26166009902954,-0.0421246,109.79756710689658,0.00910716012066981,0.15186437538664
CRI,Costa Rica,403.6666666666667,411.06975632870893,5480.720846283102,2018,25924.7403788729,8.844752499,5.31208992004395,0.3340948,73.65211219258212,-0.01817346863737601,-0.30304753915106086
CYP,Cyprus,403.3333333333333,476.3771992534043,21981.7915774875,2016,55945.953125,12.5573721,4.74210977554321,0.9314768,18.348519587748452,-0.16644662590389014,-2.77554281940615
CZE,Czechia,491.3333333333333,473.6210088674977,11533.439696979201,2016,51709.8373933963,12.96318214,4.30291986465454,1.2354239,42.60076319313671,0.0367153415554311,0.6122383200189602
DEU,Germany,482.3333333333333,496.62097450169665,15518.214944288882,2016,67589.8399055414,14.29637163,5.23916006088257,1.5613864,31.081753607933166,-0.02919167042838744,-0.48677905487111045
DOM,Dominican Republic,350.0,404.92044732442264,3717.556431418644,2018,24625.8088564037,9.444525756,3.7606477375256,0.045792,94.14786472156865,-0.14575746696944591,-2.430545459392334
ESP,Spain,477.3333333333333,456.08448900712773,9529.19928551686,2016,50468.0966924829,10.75612495,4.58553981781006,1.0779914,50.091651882946536,0.04553698359048575,0.7593416035658762
EST,Estonia,515.6666666666666,473.51063079507696,10120.282472324623,2016,47802.0073086125,13.56216597,5.20733976364136,1.2678954,50.953781979587205,0.08528619801010162,1.4221705798835147
FIN,Finland,495.0,491.56309240608863,15184.88162981579,2016,61347.1578483192,12.97962547,6.37578010559082,1.787685,32.59821262143121,0.006967464167751736,0.11618436261627975
FRA,France,478.3333333333333,474.64294175772585,14764.418890756184,2016,56181.0058137403,11.7656677,5.32434988021851,1.3517693,32.39770808946715,0.007745019722936952,0.1291503132696132
GBR,United Kingdom,494.3333333333333,478.4453778036489,12403.74650861738,2016,58544.4695425536,13.48999977,5.90681982040405,1.1378943,39.85355013421954,0.03266800206319065,0.5447478316754268
GRC,Greece,436.3333333333333,439.93911500674534,8971.24174759295,2016,38969.0221675373,11.55385642,3.37547993659973,0.2578486,48.636893933931134,-0.008229865111145429,-0.1372352421677191
GTM,Guatemala,363.6666666666667,339.13355912985764,705.4910535259316,2018,13014.0149810816,5.847300053,3.10877990722656,-0.8628806,515.4801961684967,0.06984368764005477,1.1646625136284638
HKG,"Hong Kong SAR, China",520.0,486.4187027504385,15114.075618938306,2018,68602.1491008475,12.35000038,3.80328011512756,1.5374202,34.4050151071381,0.06675903028438235,1.1132250121028477
HUN,Hungary,477.3333333333333,453.02433454244,10147.692909801486,2016,44012.2677274292,12.33162229,3.8011999130249,0.5461907,47.038606467119735,0.052269216175508504,0.8716034154738059
IDN,Indonesia,369.3333333333333,383.1290471723585,1503.0831161103233,2015,14284.929293133,8.6972232,1.27517088245674,0.2732116,245.71717250679635,-0.03667229157757479,-0.6115204499133484
IRL,Ireland,504.0,507.6512147857494,21697.879558456723,2016,136104.445332458,11.72499956,2.90461993217468,1.6609005,23.228076210957056,-0.007218358632222532,-0.12036809614351344
ISL,Iceland,447.3333333333333,497.2053958445847,14243.799732686819,2016,73426.2277837268,13.90892628,7.30798006057739,1.6402729,31.40547759224585,-0.10569918317711302,-1.7625626671082582
ISR,Israel,465.6666666666667,477.5988743029377,9993.301235796267,2016,53564.227891667,13.53459474,5.93291997909546,1.3569151,46.59788148871531,-0.02530113449961391,-0.42190330865451714
ITA,Italy,476.6666666666667,458.93949004494016,12883.408669121689,2015,56247.4155916998,10.82812827,4.06775999069214,0.8533467,36.99848998884259,0.037899063183083115,0.6319772005517648
JAM,Jamaica,396.6666666666667,391.0419519097458,3207.617454775088,2018,10790.1333008663,9.959910393,5.65453693979426,0.1649969,123.66395689615682,0.014281449320859174,0.23814705703985067
JOR,Jordan,359.3333333333333,386.81213335138915,1547.3470592485507,2018,9927.2341002506,10.30999978,3.51486315596325,0.3908884,232.22542815174182,-0.07368866882662672,-1.2287786221118049
JPN,Japan,533.0,483.43040850476484,11399.429213076774,2016,47395.8391565645,12.68404671,3.33663988113403,1.9883877,46.75672702880359,0.0976140524037552,1.6277409094421753
KAZ,Kazakhstan,411.3333333333333,439.3046550009721,7612.905804145015,2016,35895.0839871667,12.54717423,4.86469984054565,0.1520225,54.031055147086384,-0.06578923153395078,-1.0970533538105056
KOR,"Korea, Rep.",523.3333333333334,479.73210727330996,14436.085938509164,2016,51231.4530663601,12.72219869,5.40910005569458,1.4955907,36.25174687671461,0.08699077142085176,1.4505948057557174
